Fecha,Indice Nacional de Precios al Consumidor y sus Componentes.
Ago-2022,123.803
Sep-2022,124.571
Oct-2022,125.276
Nov-2022,125.997
Dic-2022,126.478
Ene-2023,127.336
Feb-2023,128.046
Mar-2023,128.389
Abr-2023,128.363
May-2023,128.084
Jun-2023,128.214
Jul-2023,128.832
Ago-2023,129.545
Sep-2023,130.12
Oct-2023,130.609
Nov-2023,131.445
Dic-2023,132.373
Ene-2024,133.555
Feb-2024,133.681
Mar-2024,134.065
Abr-2024,134.336
